# File generated by rsa_timing_lab
# Date: 2025-08-12T06:09:12.450059
#
trial_id,key_size,key_seed,sample_seed,n,e,d,p,q
always_sub_0us_ks64_key00,64,42,1000042,10027120019451085921,65537,4443254837739734273,3199286161,3134174161
always_sub_0us_ks64_key01,64,43,1000043,17507479825216065499,65537,8992161345725709265,4287546563,4083332873
always_sub_0us_ks64_key02,64,44,1000044,9847510945682726431,65537,9260299551064386473,3772813381,2610124051
always_sub_0us_ks64_key03,64,45,1000045,9245173273397127097,65537,2237761623801396977,3315179653,2788739749
always_sub_0us_ks64_key04,64,46,1000046,9394053345397507421,65537,2111393650720846553,3226481683,2911547087
always_sub_0us_ks64_key05,64,47,1000047,12049710544066768787,65537,12037575698787904361,4001352293,3011409559
always_sub_0us_ks64_key06,64,48,1000048,10833692231348267837,65537,3053045786321417633,3752119477,2887352681
always_sub_0us_ks64_key07,64,49,1000049,12315698576445601789,65537,6554078139156266573,3469218451,3549992239
always_sub_0us_ks64_key08,64,50,1000050,9917972305415945839,65537,2852342064690860033,3293821231,3011083969
always_sub_0us_ks64_key09,64,51,1000051,12738588982764636067,65537,2440540811714070113,4029376381,3161429407
always_sub_0us_ks128_key00,128,52,1000052,187101058446255281796192626474826027253,65537,77221974303260129645311333394012818369,14172946422310467269,13201281714557850737
always_sub_0us_ks128_key01,128,53,1000053,266230464895295326539449807915009813651,65537,251122799012731228069595525091558940721,15738872762233322453,16915472214384788167
always_sub_0us_ks128_key02,128,54,1000054,184411392232318402129731406298749415411,65537,48009935979184530519759722220073373345,12913441480638920153,14280576754756335787
always_sub_0us_ks128_key03,128,55,1000055,227983217961782355946269643235649890287,65537,11225747964701949471919084521504448673,15017816638845757951,15180849749628101137
always_sub_0us_ks128_key04,128,56,1000056,334031322929349811686500419746183900941,65537,230336200098008402705104316083428235265,18282108530173503437,18270940815062524993
always_sub_0us_ks128_key05,128,57,1000057,259427635222273989998420367147559390663,65537,187786862189441930665224767722643501849,15975368863169192539,16239226614690432517
always_sub_0us_ks128_key06,128,58,1000058,268976204987549125266747131750870480753,65537,47153022248530630022914664382335372273,15221657049996747653,17670625747517192701
always_sub_0us_ks128_key07,128,59,1000059,255859956893820342396633171476069881253,65537,78885305842448293907540541256082704193,17111471609877029993,14952539601920249821
always_sub_0us_ks128_key08,128,60,1000060,189524270698535511764021973996878545229,65537,34523105171111233945855770528186463553,12928411688549655941,14659516981996483369
always_sub_0us_ks128_key09,128,61,1000061,237601700349844465425944951657569451327,65537,128083837704802708667456153001824802713,16962052727603376587,14007838801442989021
always_sub_10us_ks64_key00,64,62,1000062,15352937301362487041,65537,14377229161806137777,3675520099,4177078859
always_sub_10us_ks64_key01,64,63,1000063,13228708440702586459,65537,1795060867883086753,3738124241,3538862699
always_sub_10us_ks64_key02,64,64,1000064,10207433918368359707,65537,5572604451480536153,3188550791,3201276877
always_sub_10us_ks64_key03,64,65,1000065,15643174728430574323,65537,14757865123816735073,4180444951,3741987973
always_sub_10us_ks64_key04,64,66,1000066,10212949967121534887,65537,7470100390876994561,3410380969,2994665423
always_sub_10us_ks64_key05,64,67,1000067,9692806751312230463,65537,6441116110645032233,2318169661,4181232683
